entry1	entry2	type	value	name
cpd:C05981-156	hsa:10000	PCrel	-->	activation
cpd:C05981-156	hsa:207	PCrel	-->	activation
cpd:C05981-156	hsa:208	PCrel	-->	activation
hsa:10000	hsa:2475	PPrel	-->	activation
hsa:10000	hsa:2932	PPrel	+p	phosphorylation
hsa:10000	hsa:572	PPrel	+p	phosphorylation
hsa:10000	hsa:842	PPrel	+p	phosphorylation
hsa:10018	hsa:596	PPrel	--|	inhibition
hsa:110117499	cpd:C05981-156	PCrel	-->	activation
hsa:110117499	hsa:10000	PPrel	-->	activation
hsa:110117499	hsa:207	PPrel	-->	activation
hsa:110117499	hsa:208	PPrel	-->	activation
hsa:1499	hsa:51176	PPrel,PPrel	-->,-->	activation,activation
hsa:1499	hsa:6932	PPrel,PPrel	-->,-->	activation,activation
hsa:1499	hsa:6934	PPrel,PPrel	-->,-->	activation,activation
hsa:1499	hsa:83439	PPrel,PPrel	-->,-->	activation,activation
hsa:1630	undefined-187	PPrel	-/-	missinginteraction
hsa:1950	hsa:1956	PPrel	-->	activation
hsa:1956	hsa:110117499	PPrel,PPrel	-->,..>	activation,indirecteffect
hsa:1956	hsa:2885	PPrel	-->	activation
hsa:1956	hsa:5290	PPrel,PPrel	-->,..>	activation,indirecteffect
hsa:1956	hsa:5291	PPrel,PPrel	-->,..>	activation,indirecteffect
hsa:1956	hsa:5293	PPrel,PPrel	-->,..>	activation,indirecteffect
hsa:1956	hsa:5295	PPrel,PPrel	-->,..>	activation,indirecteffect
hsa:1956	hsa:5296	PPrel,PPrel	-->,..>	activation,indirecteffect
hsa:1956	hsa:8503	PPrel,PPrel	-->,..>	activation,indirecteffect
hsa:2069	hsa:1956	PPrel	-->	activation
hsa:207	hsa:2475	PPrel	-->	activation
hsa:207	hsa:2932	PPrel	+p	phosphorylation
hsa:207	hsa:572	PPrel	+p	phosphorylation
hsa:207	hsa:842	PPrel	+p	phosphorylation
hsa:208	hsa:2475	PPrel	-->	activation
hsa:208	hsa:2932	PPrel	+p	phosphorylation
hsa:208	hsa:572	PPrel	+p	phosphorylation
hsa:208	hsa:842	PPrel	+p	phosphorylation
hsa:2353	hsa:595	GErel	-->	expression
hsa:2475	hsa:6198	PPrel	-->	activation
hsa:2475	hsa:6199	PPrel	-->	activation
hsa:27113	hsa:596	PPrel	--|	inhibition
hsa:2885	hsa:6654	PPrel	-->	activation
hsa:2885	hsa:6655	PPrel	-->	activation
hsa:2932	hsa:1499	PPrel,PPrel	-/-,-/-	missinginteraction,missinginteraction
hsa:3265	hsa:369	PPrel	-->	activation
hsa:3265	hsa:5894	PPrel	-->	activation
hsa:3265	hsa:673	PPrel	-->	activation
hsa:369	hsa:5604	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:369	hsa:5605	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:3725	hsa:595	GErel	-->	expression
hsa:374	hsa:1956	PPrel	-->	activation
hsa:3845	hsa:110117499	PPrel	-->	activation
hsa:3845	hsa:369	PPrel,PPrel	-->,-->	activation,activation
hsa:3845	hsa:5290	PPrel	-->	activation
hsa:3845	hsa:5291	PPrel	-->	activation
hsa:3845	hsa:5293	PPrel	-->	activation
hsa:3845	hsa:5295	PPrel	-->	activation
hsa:3845	hsa:5296	PPrel	-->	activation
hsa:3845	hsa:5894	PPrel,PPrel	-->,-->	activation,activation
hsa:3845	hsa:5900	PPrel	-->	activation
hsa:3845	hsa:673	PPrel,PPrel	-->,-->	activation,activation
hsa:3845	hsa:8503	PPrel	-->	activation
hsa:387	hsa:5599	PPrel	-->	activation
hsa:387	hsa:5601	PPrel	-->	activation
hsa:387	hsa:5602	PPrel	-->	activation
hsa:4087	hsa:4089	PPrel	---	binding/association
hsa:4088	hsa:4089	PPrel	---	binding/association
hsa:4609	hsa:595	GErel	-->	expression
hsa:4893	hsa:369	PPrel	-->	activation
hsa:4893	hsa:5894	PPrel	-->	activation
hsa:4893	hsa:673	PPrel	-->	activation
hsa:51176	hsa:332	GErel	-->	expression
hsa:51176	hsa:4609	GErel	-->	expression
hsa:51176	hsa:595	GErel	-->	expression
hsa:5290	cpd:C05981-156	PCrel	-->	activation
hsa:5290	hsa:10000	PPrel	-->	activation
hsa:5290	hsa:207	PPrel	-->	activation
hsa:5290	hsa:208	PPrel	-->	activation
hsa:5291	cpd:C05981-156	PCrel	-->	activation
hsa:5291	hsa:10000	PPrel	-->	activation
hsa:5291	hsa:207	PPrel	-->	activation
hsa:5291	hsa:208	PPrel	-->	activation
hsa:5293	cpd:C05981-156	PCrel	-->	activation
hsa:5293	hsa:10000	PPrel	-->	activation
hsa:5293	hsa:207	PPrel	-->	activation
hsa:5293	hsa:208	PPrel	-->	activation
hsa:5295	cpd:C05981-156	PCrel	-->	activation
hsa:5295	hsa:10000	PPrel	-->	activation
hsa:5295	hsa:207	PPrel	-->	activation
hsa:5295	hsa:208	PPrel	-->	activation
hsa:5296	cpd:C05981-156	PCrel	-->	activation
hsa:5296	hsa:10000	PPrel	-->	activation
hsa:5296	hsa:207	PPrel	-->	activation
hsa:5296	hsa:208	PPrel	-->	activation
hsa:5366	hsa:596	PPrel	--|	inhibition
hsa:5594	hsa:2353	PPrel	+p	phosphorylation
hsa:5594	hsa:3725	PPrel	+p	phosphorylation
hsa:5594	hsa:4609	PPrel	+p	phosphorylation
hsa:5595	hsa:2353	PPrel	+p	phosphorylation
hsa:5595	hsa:3725	PPrel	+p	phosphorylation
hsa:5595	hsa:4609	PPrel	+p	phosphorylation
hsa:5604	hsa:5594	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:5604	hsa:5595	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:5605	hsa:5594	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:5605	hsa:5595	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:572	hsa:596	PPrel	--|	inhibition
hsa:581	hsa:596	PPrel	--|	inhibition
hsa:5879	hsa:5599	PPrel	-->	activation
hsa:5879	hsa:5601	PPrel	-->	activation
hsa:5879	hsa:5602	PPrel	-->	activation
hsa:5880	hsa:5599	PPrel	-->	activation
hsa:5880	hsa:5601	PPrel	-->	activation
hsa:5880	hsa:5602	PPrel	-->	activation
hsa:5881	hsa:5599	PPrel	-->	activation
hsa:5881	hsa:5601	PPrel	-->	activation
hsa:5881	hsa:5602	PPrel	-->	activation
hsa:5894	hsa:5604	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:5894	hsa:5605	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:5898	hsa:387	PPrel	-->	activation
hsa:5898	hsa:5879	PPrel	-->	activation
hsa:5898	hsa:5880	PPrel	-->	activation
hsa:5898	hsa:5881	PPrel	-->	activation
hsa:5899	hsa:387	PPrel	-->	activation
hsa:5899	hsa:5879	PPrel	-->	activation
hsa:5899	hsa:5880	PPrel	-->	activation
hsa:5899	hsa:5881	PPrel	-->	activation
hsa:5900	hsa:5898	PPrel	-->	activation
hsa:5900	hsa:5899	PPrel	-->	activation
hsa:6654	hsa:3265	PPrel	-->	activation
hsa:6654	hsa:3845	PPrel	-->	activation
hsa:6654	hsa:4893	PPrel	-->	activation
hsa:6655	hsa:3265	PPrel	-->	activation
hsa:6655	hsa:3845	PPrel	-->	activation
hsa:6655	hsa:4893	PPrel	-->	activation
hsa:673	hsa:5604	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:673	hsa:5605	PPrel,PPrel,PPrel	+p,-->,+p	phosphorylation,activation,phosphorylation
hsa:6932	hsa:332	GErel	-->	expression
hsa:6932	hsa:4609	GErel	-->	expression
hsa:6932	hsa:595	GErel	-->	expression
hsa:6934	hsa:332	GErel	-->	expression
hsa:6934	hsa:4609	GErel	-->	expression
hsa:6934	hsa:595	GErel	-->	expression
hsa:7039	hsa:1956	PPrel	-->	activation
hsa:7157	hsa:1026	PPrel	-/-	missinginteraction
hsa:7157	hsa:10912	PPrel	-/-	missinginteraction
hsa:7157	hsa:1643	PPrel	-/-	missinginteraction
hsa:7157	hsa:1647	PPrel	-/-	missinginteraction
hsa:7157	hsa:4616	PPrel	-/-	missinginteraction
hsa:7157	hsa:51426	PPrel	-/-	missinginteraction
hsa:7157	hsa:578	PPrel	-/-	missinginteraction
hsa:7157	hsa:581	PPrel	-/-	missinginteraction
hsa:83439	hsa:332	GErel	-->	expression
hsa:83439	hsa:4609	GErel	-->	expression
hsa:83439	hsa:595	GErel	-->	expression
hsa:836	hsa:1630	PPrel	-->	activation
hsa:8503	cpd:C05981-156	PCrel	-->	activation
hsa:8503	hsa:10000	PPrel	-->	activation
hsa:8503	hsa:207	PPrel	-->	activation
hsa:8503	hsa:208	PPrel	-->	activation
undefined-187	hsa:836	PPrel	-/-	missinginteraction
undefined-188	hsa:4087	PPrel	-/-	missinginteraction
undefined-188	hsa:4088	PPrel	-/-	missinginteraction
